Chr	start	end	direction	gene_id
16	16600000	16650000	Rural	ACLI19_g75068
16	16600000	16650000	Rural	ACLI19_g75069
16	16600000	16650000	Rural	ACLI19_g75071
16	16600000	16650000	Rural	ACLI19_g75072
16	16600000	16650000	Rural	ACLI19_g75070
13	49800000	49850000	Rural	ACLI19_g62377
13	49800000	49850000	Rural	ACLI19_g62378
13	49800000	49850000	Rural	ACLI19_g62379
13	49800000	49850000	Rural	ACLI19_g62380
13	49800000	49850000	Rural	ACLI19_g62382
13	49800000	49850000	Rural	ACLI19_g62383
13	49800000	49850000	Rural	ACLI19_g62385
13	49800000	49850000	Rural	ACLI19_g62381
13	49800000	49850000	Rural	ACLI19_g62384
9	56600000	56650000	Rural	ACLI19_g44931
9	56600000	56650000	Rural	ACLI19_g44932
9	56600000	56650000	Rural	ACLI19_g44933
9	56600000	56650000	Rural	ACLI19_g44934
9	56600000	56650000	Rural	ACLI19_g44936
9	56600000	56650000	Rural	ACLI19_g44937
9	56600000	56650000	Rural	ACLI19_g44935
10	58150000	58200000	Rural	ACLI19_g49711
10	58150000	58200000	Rural	ACLI19_g49713
10	58150000	58200000	Rural	ACLI19_g49714
10	58150000	58200000	Rural	ACLI19_g49716
10	58150000	58200000	Rural	ACLI19_g49718
10	58150000	58200000	Rural	ACLI19_g49712
10	58150000	58200000	Rural	ACLI19_g49715
10	58150000	58200000	Rural	ACLI19_g49717
16	16650000	16700000	Rural	ACLI19_g75073
16	16650000	16700000	Rural	ACLI19_g75075
16	16650000	16700000	Rural	ACLI19_g75076
16	16650000	16700000	Rural	ACLI19_g75077
16	16650000	16700000	Rural	ACLI19_g75078
16	16650000	16700000	Rural	ACLI19_g75074
7	7350000	7400000	Rural	ACLI19_g30729
7	7350000	7400000	Rural	ACLI19_g30731
7	7350000	7400000	Rural	ACLI19_g30732
7	7350000	7400000	Rural	ACLI19_g30733
7	7350000	7400000	Rural	ACLI19_g30730
13	49750000	49800000	Rural	ACLI19_g62371
13	49750000	49800000	Rural	ACLI19_g62372
13	49750000	49800000	Rural	ACLI19_g62374
13	49750000	49800000	Rural	ACLI19_g62376
13	49750000	49800000	Rural	ACLI19_g62373
13	49750000	49800000	Rural	ACLI19_g62375
7	7500000	7550000	Rural	ACLI19_g30742
7	7500000	7550000	Rural	ACLI19_g30743
7	7500000	7550000	Rural	ACLI19_g30744
7	7500000	7550000	Rural	ACLI19_g30745
7	7500000	7550000	Rural	ACLI19_g30746
7	7500000	7550000	Rural	ACLI19_g30747
7	7500000	7550000	Rural	ACLI19_g30748
7	7400000	7450000	Rural	ACLI19_g30734
7	7400000	7450000	Rural	ACLI19_g30735
7	7400000	7450000	Rural	ACLI19_g30736
13	43950000	44000000	Rural	ACLI19_g61868
13	43950000	44000000	Rural	ACLI19_g61869
14	49450000	49500000	Rural	ACLI19_g67147
14	49450000	49500000	Rural	ACLI19_g67148
14	49450000	49500000	Rural	ACLI19_g67150
14	49450000	49500000	Rural	ACLI19_g67152
14	49450000	49500000	Rural	ACLI19_g67149
14	49450000	49500000	Rural	ACLI19_g67151
13	43800000	43850000	Rural	ACLI19_g61853
13	43800000	43850000	Rural	ACLI19_g61854
13	43800000	43850000	Rural	ACLI19_g61855
7	7100000	7150000	Rural	ACLI19_g30692
7	7100000	7150000	Rural	ACLI19_g30693
7	7100000	7150000	Rural	ACLI19_g30694
7	7100000	7150000	Rural	ACLI19_g30695
7	7100000	7150000	Rural	ACLI19_g30696
7	7100000	7150000	Rural	ACLI19_g30697
9	16400000	16450000	Rural	ACLI19_g41958
9	16400000	16450000	Rural	ACLI19_g41959
10	58300000	58350000	Rural	ACLI19_g49732
10	58300000	58350000	Rural	ACLI19_g49733
10	58300000	58350000	Rural	ACLI19_g49734
10	58300000	58350000	Rural	ACLI19_g49736
10	58300000	58350000	Rural	ACLI19_g49735
13	15900000	15950000	Rural	ACLI19_g60268
13	15900000	15950000	Rural	ACLI19_g60269
13	15900000	15950000	Rural	ACLI19_g60271
13	15900000	15950000	Rural	ACLI19_g60272
13	15900000	15950000	Rural	ACLI19_g60270
8	31750000	31800000	Rural	ACLI19_g38020
8	31750000	31800000	Rural	ACLI19_g38021
8	31750000	31800000	Rural	ACLI19_g38022
8	31750000	31800000	Rural	ACLI19_g38023
8	31750000	31800000	Rural	ACLI19_g38024
8	31750000	31800000	Rural	ACLI19_g38025
13	49850000	49900000	Rural	ACLI19_g62385
13	49850000	49900000	Rural	ACLI19_g62386
13	49850000	49900000	Rural	ACLI19_g62387
13	49850000	49900000	Rural	ACLI19_g62389
13	49850000	49900000	Rural	ACLI19_g62390
13	49850000	49900000	Rural	ACLI19_g62388
11	55200000	55250000	Rural	ACLI19_g53669
11	55200000	55250000	Rural	ACLI19_g53670
11	55200000	55250000	Rural	ACLI19_g53671
11	55200000	55250000	Rural	ACLI19_g53673
11	55200000	55250000	Rural	ACLI19_g53674
11	55200000	55250000	Rural	ACLI19_g53675
11	55200000	55250000	Rural	ACLI19_g53672
7	7550000	7600000	Rural	ACLI19_g30750
7	7550000	7600000	Rural	ACLI19_g30751
7	7550000	7600000	Rural	ACLI19_g30752
7	7550000	7600000	Rural	ACLI19_g30749
7	7550000	7600000	Rural	ACLI19_g30753
7	28600000	28650000	Rural	ACLI19_g32517
7	28600000	28650000	Rural	ACLI19_g32519
7	28600000	28650000	Rural	ACLI19_g32520
7	28600000	28650000	Rural	ACLI19_g32521
7	28600000	28650000	Rural	ACLI19_g32522
7	28600000	28650000	Rural	ACLI19_g32523
7	28600000	28650000	Rural	ACLI19_g32524
7	28600000	28650000	Rural	ACLI19_g32525
7	28600000	28650000	Rural	ACLI19_g32526
7	28600000	28650000	Rural	ACLI19_g32527
7	28600000	28650000	Rural	ACLI19_g32518
7	28600000	28650000	Rural	ACLI19_g32528
3	10650000	10700000	Rural	ACLI19_g12436
3	10650000	10700000	Rural	ACLI19_g12438
3	10650000	10700000	Rural	ACLI19_g12439
3	10650000	10700000	Rural	ACLI19_g12437
2	66650000	66700000	Rural	ACLI19_g11182
2	66650000	66700000	Rural	ACLI19_g11183
2	66650000	66700000	Rural	ACLI19_g11184
2	66650000	66700000	Rural	ACLI19_g11185
1	66250000	66300000	Rural	ACLI19_g5549
1	66250000	66300000	Rural	ACLI19_g5551
1	66250000	66300000	Rural	ACLI19_g5550
2	45800000	45850000	Rural	ACLI19_g9185
2	45800000	45850000	Rural	ACLI19_g9186
2	45800000	45850000	Rural	ACLI19_g9187
2	45800000	45850000	Rural	ACLI19_g9188
2	45800000	45850000	Rural	ACLI19_g9189
2	43750000	43800000	Rural	ACLI19_g9086
2	43750000	43800000	Rural	ACLI19_g9087
13	43850000	43900000	Rural	ACLI19_g61856
13	43850000	43900000	Rural	ACLI19_g61857
13	43850000	43900000	Rural	ACLI19_g61858
13	43850000	43900000	Rural	ACLI19_g61859
7	7200000	7250000	Rural	ACLI19_g30705
7	7200000	7250000	Rural	ACLI19_g30706
7	7200000	7250000	Rural	ACLI19_g30707
7	7200000	7250000	Rural	ACLI19_g30708
7	7200000	7250000	Rural	ACLI19_g30709
7	7200000	7250000	Rural	ACLI19_g30710
7	7200000	7250000	Rural	ACLI19_g30711
10	58250000	58300000	Rural	ACLI19_g49724
10	58250000	58300000	Rural	ACLI19_g49725
10	58250000	58300000	Rural	ACLI19_g49727
10	58250000	58300000	Rural	ACLI19_g49729
10	58250000	58300000	Rural	ACLI19_g49730
10	58250000	58300000	Rural	ACLI19_g49731
10	58250000	58300000	Rural	ACLI19_g49726
